,POS,points,first name,last name,age,country,liga,club,id,comp,place,date,category,weapon,gender,event,type,Poule,poule_order,PVICT,PTD,PTR,PIND,PT-DIFF,rank_poule,p_matches,p1_td,p1_tr,p1_result,p1_opp_id,p2_td,p2_tr,p2_result,p2_opp_id,p3_td,p3_tr,p3_result,p3_opp_id,p4_td,p4_tr,p4_result,p4_opp_id,p5_td,p5_tr,p5_result,p5_opp_id,td_t32,tr_t32,match_dif_t32,match_res_t32,t32_opp_id,td_t16,tr_t16,match_dif_t16,match_res_t16,t16_opp_id,td_t8,tr_t8,match_dif_t8,match_res_t8,t8_opp_id,td_semi,tr_semi,match_dif_semi,match_res_semi,semi_opp_id,td_final,tr_final,match_dif_final,match_res_final,final_opp_id,name,PMTR,PMTD,PMT-DIFF,TTR,TTD,TMT-DIFF,PM1V%,PM1&2V%,TMV,p6_td,p6_tr,p6_result,p6_opp_id,td_t64,tr_t64,match_dif_t64,match_res_t64,t64_opp_id,p7_td,p7_tr,p7_result,p7_opp_id,p8_td,p8_tr,p8_result,p8_opp_id
0,1,64,SASKIA LORETTA,VAN ERVEN GARCIA,34,COLOMBIA,VALLE,SAN SEBASTIAN DE YUMBO,688,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,1,4,4,20,2,1,18,1,4,5,1,1,571,5,1,1,472,5,0,1,149,5,0,1,2015,,,,,,,,,,15,1,14,1,1168,15,7,8,1,243,15,6,9,1,51,15,10,5,1,271,SASKIA LORETTA VAN ERVEN GARCIA,0.5,5,4.5,4.41666666666667,14.1666666666667,9.75,1,1,3,,,,,,,,,,,,,,,,,
1,2,52,TATIANA CATALINA,PRIETO ALJURE,33,COLOMBIA,BOGOTA,MOSQUETEROS,271,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,4,3,5,25,5,1,20,1,5,5,1,1,130,5,2,1,418,5,0,1,475,5,1,1,1278,5,1,1,829,,,,,,15,6,9,1,2341,15,12,3,1,130,15,11,4,1,328,10,15,-5,0,688,TATIANA CATALINA PRIETO ALJURE,1,5,4,8.33333333333333,14.1666666666667,5.83333333333333,1,1,2,,,,,,,,,,,,,,,,,
2,3,40,LAURA JULIETH,GUERRA ACOSTA,24,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,51,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,3,6,5,25,5,1,20,1,5,5,1,1,629,5,1,1,365,5,0,1,101,5,1,1,1152,5,2,1,243,,,,,,15,7,8,1,126,15,8,7,1,571,6,15,-9,0,688,,,,,,LAURA JULIETH GUERRA ACOSTA,1,5,4,7.2,13.2,6,1,1,1,,,,,,,,,,,,,,,,,
3,3,40,ANGELA CRISTINA,ORJUELA MENDOZA,29,COLOMBIA,BOGOTA,CLUB DE ESGRIMA SPARTACUS,328,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,2,2,4,23,13,0.8,10,1,5,5,3,1,126,5,1,1,612,5,4,1,428,3,5,0,1168,5,0,1,2341,,,,,,15,5,10,1,1152,0,0,0,1,428,11,15,-4,0,271,,,,,,ANGELA CRISTINA ORJUELA MENDOZA,2.6,4.6,2,7.12,10.72,3.6,1,1,1,,,,,,,,,,,,,,,,,
4,5,28,VANESSA,SERNA CAMERO,35,COLOMBIA,VALLE,SAN SEBASTIAN DE YUMBO,428,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,2,4,4,24,15,0.8,9,2,5,5,1,1,1168,5,3,1,2341,4,5,0,328,5,4,1,612,5,2,1,126,,,,,,12,8,4,1,472,0,0,0,A,328,,,,,,,,,,,VANESSA SERNA CAMERO,3,4.8,1.8,6.5,10.2,3.7,1,1,1,,,,,,,,,,,,,,,,,
5,6,28,INGRID ESTEFANÍA,MENDEZ CASTILLO,25,COLOMBIA,FFAA,"ESCUELA MILITARDE DE CEDETES ""GENERAL JOSE MARIA CORDOVA""",243,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,3,3,4,22,15,0.8,7,2,5,5,4,1,1152,5,4,1,101,5,0,1,629,5,2,1,365,2,5,0,51,,,,,,15,7,8,1,418,7,15,-8,0,688,,,,,,,,,,,INGRID ESTEFANÍA MENDEZ CASTILLO,3,4.4,1.4,10,12.1,2.1,1,1,1,,,,,,,,,,,,,,,,,
6,7,28,JULIANA,VELASQUEZ AGUDELO,25,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,571,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,1,3,3,16,7,0.75,9,2,4,1,5,0,688,5,1,1,2015,5,1,1,149,5,0,1,472,,,,,,,,,,15,8,7,1,101,8,15,-7,0,51,,,,,,,,,,,JULIANA VELASQUEZ AGUDELO,1.75,4,2.25,7.9375,10.75,2.8125,0,0,1,,,,,,,,,,,,,,,,,
7,8,28,JULIANA,PINEDA VALENCIA,24,COLOMBIA,BOGOTA,MOSQUETEROS,130,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,4,4,3,18,12,0.6,6,3,5,1,5,0,271,5,2,1,475,5,0,1,1278,2,5,0,829,5,0,1,418,,,,,,15,9,6,1,829,12,15,-3,0,271,,,,,,,,,,,JULIANA PINEDA VALENCIA,2.4,3.6,1.2,9.6,12.15,2.55,0,0,1,,,,,,,,,,,,,,,,,
8,9,16,MARIA JOSE,FIGUEREDO SIERRA,20,COLOMBIA,VALLE,Pothos Club,829,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,4,6,3,20,14,0.6,6,2,5,5,2,1,475,5,0,1,1278,4,5,0,418,5,2,1,130,1,5,0,271,,,,,,9,15,-6,0,130,,,,,,,,,,,,,,,,MARIA JOSE FIGUEREDO SIERRA,2.8,4,1.2,10.6,11,0.4,1,1,0,,,,,,,,,,,,,,,,,
9,10,16,CAROLINA MARÍA,VARGAS LEÓN,26,COLOMBIA,BOGOTA,MOSQUETEROS,101,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,3,1,3,19,16,0.6,3,3,5,5,2,1,365,4,5,0,243,0,5,0,51,5,1,1,629,5,3,1,1152,,,,,,8,15,-7,0,571,,,,,,,,,,,,,,,,CAROLINA MARÍA VARGAS LEÓN,3.2,3.8,0.6,11.4,10.2666666666667,-1.13333333333333,1,0,0,,,,,,,,,,,,,,,,,
