,POS,points,first name,last name,age,country,liga,club,id,comp,place,date,category,weapon,gender,event,type,Poule,poule_order,PVICT,PTD,PTR,PIND,PT-DIFF,rank_poule,p_matches,p1_td,p1_tr,p1_result,p1_opp_id,p2_td,p2_tr,p2_result,p2_opp_id,p3_td,p3_tr,p3_result,p3_opp_id,p4_td,p4_tr,p4_result,p4_opp_id,td_t16,tr_t16,match_dif_t16,match_res_t16,t16_opp_id,td_t8,tr_t8,match_dif_t8,match_res_t8,t8_opp_id,td_semi,tr_semi,match_dif_semi,match_res_semi,semi_opp_id,td_final,tr_final,match_dif_final,match_res_final,final_opp_id,name,PMTR,PMTD,PMT-DIFF,TTR,TTD,TMT-DIFF,PM1V%,PM1&2V%,TMV,TMV%
0,1,32,MARIA DE LOS ANGELES,JARAMILLO QUEVEDO,20,COLOMBIA,VALLE,Club Olga Quevedo,1141,"II Copa Nal Espada y Sable Medellín Precadete,Cadete,Juvenil y Mayores",Coliseo de Combate Guillermo Gaviria Correa,17-07-2021,J,E,F,I,NAL,1,3,4,20,5,1.0,15,1,4,5,1,1,274,5,2,1,2903,5,1,1,310,5.0,1.0,1.0,941.0,,,,,,15.0,3.0,12.0,1.0,310.0,14.0,7.0,7.0,1.0,941.0,15.0,10.0,5.0,1.0,924.0,MARIA DE LOS ANGELES JARAMILLO QUEVEDO,1.25,5.0,3.75,5.25,13.8,8.55,1,1,3.0,0.75
1,2,26,ALEJANDRA,PIEDRAHITA GOMEZ,18,COLOMBIA,ANTIOQUIA,ESGRIMA FENCING CLUB,924,"II Copa Nal Espada y Sable Medellín Precadete,Cadete,Juvenil y Mayores",Coliseo de Combate Guillermo Gaviria Correa,17-07-2021,J,E,F,I,NAL,2,3,3,17,11,0.75,6,2,4,4,2,1,249,5,2,1,2926,4,5,0,920,4.0,2.0,1.0,1488.0,,,,,,15.0,11.0,4.0,1.0,274.0,15.0,10.0,5.0,1.0,1488.0,10.0,15.0,-5.0,0.0,1141.0,ALEJANDRA PIEDRAHITA GOMEZ,2.75,4.25,1.5,9.95,12.25,2.3000000000000007,1,1,2.0,0.5
2,3,20,PAULA ISABELLA,CASTRO NIAMPIRA,16,COLOMBIA,CUNDINAMARCA,CLUB GUARDIA REAL CHIA,1488,"II Copa Nal Espada y Sable Medellín Precadete,Cadete,Juvenil y Mayores",Coliseo de Combate Guillermo Gaviria Correa,17-07-2021,J,E,F,I,NAL,2,5,3,17,8,0.75,9,1,4,5,1,1,920,5,2,1,249,5,1,1,2926,2.0,4.0,0.0,924.0,,,,,,14.0,7.0,7.0,1.0,249.0,10.0,15.0,-5.0,0.0,924.0,,,,,,PAULA ISABELLA CASTRO NIAMPIRA,2.0,4.25,2.25,8.0,11.3125,3.3125,1,1,1.0,0.25
3,3,20,CARMEN ANDREA,CORREA SANTA,17,COLOMBIA,ANTIOQUIA,ESGRIMA FENCING CLUB,941,"II Copa Nal Espada y Sable Medellín Precadete,Cadete,Juvenil y Mayores",Coliseo de Combate Guillermo Gaviria Correa,17-07-2021,J,E,F,I,NAL,1,5,3,16,12,0.75,4,2,4,5,2,1,310,5,4,1,274,5,1,1,2903,1.0,5.0,0.0,1141.0,,,,,,15.0,10.0,5.0,1.0,920.0,7.0,14.0,-7.0,0.0,1141.0,,,,,,CARMEN ANDREA CORREA SANTA,3.0,4.0,1.0,9.75,10.5,0.75,1,1,1.0,0.25
4,5,14,CLAUDIA PATRICIA,MINA LOZANO,19,COLOMBIA,VALLE,VENCEDORES,920,"II Copa Nal Espada y Sable Medellín Precadete,Cadete,Juvenil y Mayores",Coliseo de Combate Guillermo Gaviria Correa,17-07-2021,J,E,F,I,NAL,2,1,3,16,17,0.75,-1,3,4,5,4,1,2926,1,5,0,1488,5,4,1,924,5.0,4.0,1.0,249.0,,,,,,10.0,15.0,-5.0,0.0,941.0,,,,,,,,,,,CLAUDIA PATRICIA MINA LOZANO,4.25,4.0,-0.25,12.083333333333334,10.0,-2.083333333333334,1,0,0.0,0.0
5,6,14,NATALIA SOFIA,VALDERRAMA ALVARADO,19,COLOMBIA,BOGOTA,Club Deportivo Braveness,274,"II Copa Nal Espada y Sable Medellín Precadete,Cadete,Juvenil y Mayores",Coliseo de Combate Guillermo Gaviria Correa,17-07-2021,J,E,F,I,NAL,1,4,2,15,13,0.5,2,3,4,1,5,0,1141,4,5,0,941,5,3,1,310,5.0,0.0,1.0,2903.0,,,,,,11.0,15.0,-4.0,0.0,924.0,,,,,,,,,,,NATALIA SOFIA VALDERRAMA ALVARADO,3.25,3.75,0.5,10.416666666666666,9.916666666666666,-0.5,0,0,0.0,0.0
6,7,14,ISABELLA,GONZALEZ RODRÍGUEZ,15,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,249,"II Copa Nal Espada y Sable Medellín Precadete,Cadete,Juvenil y Mayores",Coliseo de Combate Guillermo Gaviria Correa,17-07-2021,J,E,F,I,NAL,2,4,1,13,16,0.25,-3,4,4,2,4,0,924,2,5,0,1488,4,5,0,920,5.0,2.0,1.0,2926.0,15.0,9.0,6.0,1.0,2903.0,7.0,14.0,-7.0,0.0,1488.0,,,,,,,,,,,ISABELLA GONZALEZ RODRÍGUEZ,4.0,3.25,-0.75,10.75,9.5625,-1.1875,0,0,1.0,0.25
7,8,14,VALENTINA,QUEVEDO RODRIGUEZ,20,COLOMBIA,CUNDINAMARCA,CLUB ARAMIS,310,"II Copa Nal Espada y Sable Medellín Precadete,Cadete,Juvenil y Mayores",Coliseo de Combate Guillermo Gaviria Correa,17-07-2021,J,E,F,I,NAL,1,1,1,11,15,0.25,-4,4,4,5,0,1,2903,2,5,0,941,1,5,0,1141,3.0,5.0,0.0,274.0,14.0,12.0,2.0,1.0,2926.0,3.0,15.0,-12.0,0.0,1141.0,,,,,,,,,,,VALENTINA QUEVEDO RODRIGUEZ,3.75,2.75,-1.0,11.4375,7.6875,-3.75,1,0,1.0,0.25
8,9,8,NAHOMY ALEXANDRA,CORREA MERA,18,COLOMBIA,VALLE,Club Olga Quevedo,2926,"II Copa Nal Espada y Sable Medellín Precadete,Cadete,Juvenil y Mayores",Coliseo de Combate Guillermo Gaviria Correa,17-07-2021,J,E,F,I,NAL,2,2,0,9,20,0.0,-11,5,4,4,5,0,920,2,5,0,924,1,5,0,1488,2.0,5.0,0.0,249.0,12.0,14.0,-2.0,0.0,310.0,,,,,,,,,,,,,,,,NAHOMY ALEXANDRA CORREA MERA,5.0,2.25,-2.75,13.0,7.75,-5.25,0,0,0.0,0.0
9,10,8,MANUELA,CARDONA GONZALEZ,18,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,2903,"II Copa Nal Espada y Sable Medellín Precadete,Cadete,Juvenil y Mayores",Coliseo de Combate Guillermo Gaviria Correa,17-07-2021,J,E,F,I,NAL,1,2,0,3,20,0.0,-17,5,4,0,5,0,310,2,5,0,1141,1,5,0,941,0.0,5.0,0.0,274.0,9.0,15.0,-6.0,0.0,249.0,,,,,,,,,,,,,,,,MANUELA CARDONA GONZALEZ,5.0,0.75,-4.25,13.333333333333334,4.25,-9.083333333333334,0,0,0.0,0.0
