,final_pos,points,name,age,country,id,competition,place,date,category,weapon,gender,event,type,td_pre256,tr_pre256,opp_pre256,match_dif_pre256,match_res_pre256,td_pre128,tr_pre128,opp_pre128,match_dif_pre128,match_res_pre128,td_pre64,tr_pre64,opp_pre64,match_dif_pre64,match_res_pre64,td_t64,tr_t64,opp_t64,match_dif_t64,match_res_t64,td_t32,tr_t32,opp_t32,match_dif_t32,match_res_t32,td_t16,tr_t16,opp_t16,match_dif_t16,match_res_t16,td_t8,tr_t8,opp_t8,match_dif_t8,match_res_t8,td_semi,tr_semi,opp_semi,match_dif_semi,match_res_semi,td_final,tr_final,opp_final,match_dif_final,match_res_final,rank_poule,poule_vict,M,td_polues,tr_poules,poule_ind,p_diff,poule_order,p1,p2,p3,p4,p5,p6,p_matches,p1_result,p1_td,p1_tr,p1_opp,p2_result,p2_td,p2_tr,p2_opp,p3_result,p3_td,p3_tr,p3_opp,p4_result,p4_td,p4_tr,p4_opp,p5_result,p5_td,p5_tr,p5_opp,p6_result,p6_td,p6_tr,p6_opp
0,1.0,32.0,ANDRASFI Tibor,23.0,HUN,andrasfitib,Coupe du Monde,Berne,2022-11-11,S,E,M,I,A,,,,,,15.0,10.0,matsumotory,5.0,V,15.0,14.0,vallosioand,1.0,V,15.0,7.0,szaparytris,8.0,V,11.0,10.0,borelyannic,1.0,V,15.0,13.0,stankevychv,2.0,V,15.0,12.0,vismarafede,3.0,V,15.0,11.0,kanokoki,4.0,V,12.0,11.0,rodriguezjo,1.0,V,18.0,5.0,6.0,28.0,16.0,0.833,12.0,6.0,V/5,V/4,V/5,D/4,V/5,V/5,6.0,V,5.0,1.0,hoareau-ber,V,5.0,3.0,hoidadaniil,V,4.0,3.0,fuhrimannjo,D,4.0,5.0,mideltonlui,V,5.0,3.0,limjulienke,V,5.0,3.0,hoidadaniil
1,2.0,26.0,RODRIGUEZ John Edison,31.0,COL,rodriguezjo,Coupe du Monde,Berne,2022-11-11,S,E,M,I,A,,,,,,15.0,8.0,gavaldaeuge,7.0,V,15.0,12.0,ramirezyeis,3.0,V,15.0,10.0,frazaomigue,5.0,V,15.0,11.0,lawsonnicho,4.0,V,15.0,14.0,paolinigiac,1.0,V,15.0,12.0,cuomovaleri,3.0,V,15.0,12.0,mideltonlui,3.0,V,11.0,12.0,andrasfitib,-1.0,D,17.0,5.0,6.0,29.0,16.0,0.833,13.0,4.0,V/5,V/5,V/5,V/5,D/4,V/5,6.0,V,5.0,3.0,sarrioraul,V,5.0,2.0,josenoelito,V,5.0,1.0,prokhorovdm,D,4.0,5.0,makiienkoie,V,5.0,2.0,paavolavain,V,5.0,3.0,antkiewiczm
2,3.0,20.0,KANO Koki,24.0,JPN,kanokoki,Coupe du Monde,Berne,2022-11-11,S,E,M,I,A,,,,,,,,,,,,,,,,12.0,11.0,sakatohidem,1.0,V,15.0,11.0,jerentdanie,4.0,V,15.0,4.0,lopezpourti,11.0,V,9.0,8.0,garozzoenri,1.0,V,11.0,15.0,andrasfitib,-4.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,20.0,MIDELTON Luidgi,24.0,FRA,mideltonlui,Coupe du Monde,Berne,2022-11-11,S,E,M,I,A,,,,,,,,,,,,,,,,15.0,11.0,mcdowaldcur,4.0,V,15.0,13.0,cuprmichal,2.0,V,15.0,8.0,alimzhanove,7.0,V,15.0,7.0,kochmatetam,8.0,V,12.0,15.0,rodriguezjo,-3.0,D,,,,,,4.0,6.0,6.0,30.0,15.0,1000.0,15.0,4.0,V/5,V/5,V/5,V/5,V/5,V/5,6.0,V,5.0,4.0,limjulienke,V,5.0,1.0,graesbeckgu,V,5.0,1.0,hoareau-ber,V,5.0,4.0,andrasfitib,V,5.0,2.0,fuhrimannjo,V,5.0,3.0,hoidadaniil
4,5.0,14.0,KOCH Mate Tamas,23.0,HUN,kochmatetam,Coupe du Monde,Berne,2022-11-11,S,E,M,I,A,,,,,,,,,,,,,,,,15.0,10.0,tauriainent,5.0,V,7.0,6.0,yulefan,1.0,V,15.0,14.0,sychyan,1.0,V,7.0,15.0,mideltonlui,-8.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,14.0,VISMARA Federico,25.0,ITA,vismarafede,Coupe du Monde,Berne,2022-11-11,S,E,M,I,A,,,,,,,,,,,,,,,,15.0,9.0,demoladanie,6.0,V,15.0,11.0,herzbergfab,4.0,V,15.0,13.0,favaalex,2.0,V,12.0,15.0,andrasfitib,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.0,14.0,CUOMO Valerio,24.0,ITA,cuomovaleri,Coupe du Monde,Berne,2022-11-11,S,E,M,I,A,,,,,,,,,,,,,,,,15.0,12.0,priinitsste,3.0,V,15.0,14.0,bardenetale,1.0,V,15.0,6.0,elsayedmahm,9.0,V,12.0,15.0,rodriguezjo,-3.0,D,,,,,,,,,,,9.0,5.0,5.0,22.0,10.0,1000.0,12.0,6.0,V/5,D/0,V/3,V/5,V/5,V/4,6.0,V,3.0,2.0,nghotin,V,4.0,3.0,kovackimilo,D,0.0,0.0,limardojesu,V,5.0,1.0,whitesean,V,5.0,2.0,jordanowen,V,5.0,3.0,kovackimilo
7,8.0,14.0,GAROZZO Enrico,33.0,ITA,garozzoenri,Coupe du Monde,Berne,2022-11-11,S,E,M,I,A,,,,,,,,,,,,,,,,11.0,10.0,brinkmannma,1.0,V,15.0,10.0,reizlinigor,5.0,V,15.0,9.0,loyolaneiss,6.0,V,8.0,9.0,kanokoki,-1.0,D,,,,,,,,,,,14.0,6.0,6.0,18.0,10.0,1000.0,8.0,2.0,V/3,V/4,V/3,V/3,V/2,V/3,6.0,V,3.0,2.0,brobakkenma,V,4.0,3.0,hussongeoff,V,2.0,1.0,komataakira,V,3.0,2.0,budekkarol,V,3.0,0.0,jutilajuliu,V,3.0,2.0,koshmanniki
8,9.0,8.0,LOPEZ POURTIER Nelson,27.0,FRA,lopezpourti,Coupe du Monde,Berne,2022-11-11,S,E,M,I,A,,,,,,,,,,,,,,,,15.0,8.0,yamadamasar,7.0,V,15.0,8.0,huangzhongm,7.0,V,4.0,15.0,kanokoki,-11.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,8.0,LOYOLA Neisser,24.0,BEL,loyolaneiss,Coupe du Monde,Berne,2022-11-11,S,E,M,I,A,,,,,,,,,,,,,,,,15.0,6.0,calderondie,9.0,V,15.0,6.0,ciminigabri,9.0,V,9.0,15.0,garozzoenri,-6.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
