,final_pos,points,name,age,country,id,competition,place,date,category,weapon,gender,event,type,td_pre128,tr_pre128,opp_pre128,match_dif_pre128,match_res_pre128,td_pre64,tr_pre64,opp_pre64,match_dif_pre64,match_res_pre64,td_t64,tr_t64,opp_t64,match_dif_t64,match_res_t64,td_t32,tr_t32,opp_t32,match_dif_t32,match_res_t32,td_t16,tr_t16,opp_t16,match_dif_t16,match_res_t16,td_t8,tr_t8,opp_t8,match_dif_t8,match_res_t8,td_semi,tr_semi,opp_semi,match_dif_semi,match_res_semi,td_final,tr_final,opp_final,match_dif_final,match_res_final,rank_poule,poule_vict,M,td_polues,tr_poules,poule_ind,p_diff,poule_order,p1,p2,p3,p4,p5,p6,p_matches,p1_result,p1_td,p1_tr,p1_opp,p2_result,p2_td,p2_tr,p2_opp,p3_result,p3_td,p3_tr,p3_opp,p4_result,p4_td,p4_tr,p4_opp,p5_result,p5_td,p5_tr,p5_opp,p6_result,p6_td,p6_tr,p6_opp,td_pre256,tr_pre256,opp_pre256,match_dif_pre256,match_res_pre256
0,1,32.0,BASHTA Anna,25,AZE,bashtaanna,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,8.0,perezcuenca,7.0,V,15.0,13.0,garganorebe,2.0,V,15.0,13.0,katonarenat,2.0,V,15.0,11.0,noutchasara,4.0,V,15.0,13.0,matuszaksyl,2.0,V,15.0,12.0,martin-port,3.0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,26.0,MARTIN-PORTUGUES Lucia,31,ESP,martin-port,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,14.0,ozakiseri,1.0,V,15.0,9.0,takashimari,6.0,V,15.0,4.0,pusztailiza,11.0,V,15.0,4.0,georgiadoud,11.0,V,15.0,4.0,balzersara,11.0,V,12.0,15.0,bashtaanna,-3.0,D,1.0,6.0,6.0,30.0,9.0,1.0,21.0,7.0,V/5,V/5,V/5,V/5,V/5,V/5,6.0,V,5.0,3.0,coudercanna,V,5.0,3.0,gasparingiu,V,5.0,0.0,klimavicius,V,5.0,1.0,takashimari,V,5.0,0.0,konstantako,V,5.0,2.0,johnsonhono,,,,,
2,3,20.0,BALZER Sara,27,FRA,balzersara,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,7.0,greenbaumat,8.0,V,15.0,13.0,querolicaro,2.0,V,15.0,12.0,eiflerlaris,3.0,V,15.0,13.0,fukushimash,2.0,V,4.0,15.0,martin-port,-11.0,D,,,,,,5.0,6.0,6.0,30.0,11.0,1.0,19.0,2.0,V/5,V/5,V/5,V/5,V/5,V/5,6.0,V,5.0,2.0,vasilevaver,V,5.0,0.0,christeaart,V,5.0,2.0,venturamari,V,5.0,1.0,skarbonkiew,V,5.0,4.0,kobayashika,V,5.0,2.0,lupuandreea,,,,,
3,3,20.0,MATUSZAK Sylwia,24,POL,matuszaksyl,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,10.0,lauwingyi,5.0,V,15.0,7.0,corteynjoli,8.0,V,15.0,11.0,kosefatmaze,4.0,V,15.0,12.0,crisciomart,3.0,V,15.0,9.0,kimjiyeon,6.0,V,15.0,13.0,hramovaolga,2.0,V,13.0,15.0,bashtaanna,-2.0,D,,,,,,44.0,4.0,6.0,23.0,16.0,0.667,7.0,7.0,V/5,V/5,V/5,D/2,V/5,D/1,6.0,V,5.0,4.0,gulikanasta,D,1.0,5.0,fuying,V,5.0,1.0,blanconarva,V,5.0,0.0,moutopoulou,D,2.0,1.0,brayjenna,D,2.0,5.0,mukaeayaka,,,,,
4,5,14.0,GEORGIADOU Despina,30,GRE,georgiadoud,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,4.0,watorangeli,11.0,V,15.0,12.0,funkejulika,3.0,V,15.0,9.0,battistonmi,6.0,V,4.0,15.0,martin-port,-11.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,14.0,NOUTCHA Sarah,22,FRA,noutchasara,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,15.0,9.0,buerkertann,6.0,V,15.0,10.0,unludagdeni,5.0,V,15.0,12.0,apithy-brun,3.0,V,15.0,7.0,kimjeongmi,8.0,V,11.0,15.0,bashtaanna,-4.0,D,,,,,,,,,,,18.0,5.0,6.0,29.0,16.0,0.833,13.0,4.0,V/5,V/5,V/5,V/5,V/5,D/4,6.0,V,5.0,1.0,beltranroja,V,5.0,4.0,kimuramarin,V,5.0,4.0,kimjeongmi,V,5.0,2.0,apostolopou,V,5.0,0.0,vutovateodo,D,4.0,5.0,rotiliclaud,,,,,
6,7,14.0,HRAMOVA Olga A.,32,BUL,hramovaolga,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,15.0,4.0,gallardoitz,11.0,V,15.0,12.0,fox-gitomer,3.0,V,15.0,14.0,choisooyeon,1.0,V,15.0,14.0,seojiyeon,1.0,V,13.0,15.0,matuszaksyl,-2.0,D,,,,,,,,,,,35.0,4.0,6.0,28.0,17.0,0.667,11.0,5.0,D/4,V/5,V/5,D/4,V/5,V/5,6.0,V,5.0,2.0,greenbaumat,D,4.0,5.0,doukaanna,D,4.0,5.0,unludagdeni,V,5.0,0.0,gutierrezro,V,5.0,3.0,mayingjia,V,5.0,2.0,sarybayaige,,,,,
7,8,14.0,FUKUSHIMA Shihomi,26,JPN,fukushimash,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,5.0,christeaart,10.0,V,15.0,13.0,kimuramarin,2.0,V,15.0,12.0,poupinetann,3.0,V,15.0,14.0,tamuranorik,1.0,V,15.0,11.0,boudiafsaou,4.0,V,13.0,15.0,balzersara,-2.0,D,,,,,,,,,,,42.0,4.0,6.0,26.0,19.0,0.667,7.0,4.0,V/5,V/5,V/5,D/4,D/2,V/5,6.0,V,5.0,0.0,syntychakie,D,4.0,5.0,linderkara,V,5.0,4.0,abram-moore,D,2.0,5.0,laurentclar,V,5.0,2.0,erbilnisanu,V,5.0,3.0,szucsluca,,,,,
8,9,8.0,PUSZTAI Liza,20,HUN,pusztailiza,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,6.0,pliegopaola,9.0,V,15.0,14.0,rotiliclaud,1.0,V,4.0,15.0,martin-port,-11.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,8.0,KIM Jiyeon,34,KOR,kimjiyeon,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,8.0,skarbonkiew,7.0,V,15.0,8.0,nazlymovtat,7.0,V,9.0,15.0,matuszaksyl,-6.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,8.0,BATTISTON Michela,24,ITA,battistonmi,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,7.0,lucariniluc,8.0,V,15.0,10.0,stoneanne-e,5.0,V,9.0,15.0,georgiadoud,-6.0,D,,,,,,,,,,,,,,,,9.0,5.0,5.0,25.0,12.0,1.0,13.0,1.0,V/5,V/5,V/5,V/5,V/5,,5.0,V,5.0,2.0,bunyatovase,V,5.0,2.0,leunglokman,V,5.0,4.0,boudiafsaou,V,5.0,0.0,bentolilaes,V,5.0,4.0,theodoremar,,,,,,,,,
11,12,8.0,SEO Jiyeon,29,KOR,seojiyeon,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,14.0,jeoneunhye,1.0,V,15.0,14.0,gkountourat,1.0,V,14.0,15.0,hramovaolga,-1.0,D,,,,,,,,,,,,,,,,11.0,5.0,6.0,27.0,10.0,0.833,17.0,6.0,V/5,V/5,D/2,V/5,V/5,V/5,6.0,D,2.0,5.0,kanekoyuina,V,5.0,0.0,mpenouklair,V,5.0,0.0,derkumliska,V,5.0,1.0,westwellamy,V,5.0,3.0,jijieishvil,V,5.0,0.0,mpenouklair,,,,,
12,13,8.0,BOUDIAF Saoussen,28,ALG,boudiafsaou,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,15.0,13.0,arpinogiuli,2.0,V,15.0,7.0,navarroarac,8.0,V,15.0,8.0,yoonjisu,7.0,V,11.0,15.0,fukushimash,-4.0,D,,,,,,,,,,,,,,,,23.0,4.0,5.0,24.0,8.0,0.8,16.0,6.0,D/4,V/5,V/5,V/5,V/5,,5.0,V,5.0,1.0,bentolilaes,V,5.0,0.0,bunyatovase,D,4.0,5.0,BATTISTON Michela,V,5.0,0.0,theodoremar,V,5.0,2.0,leunglokman,,,,,,,,,
13,14,8.0,EIFLER Larissa,22,GER,eiflerlaris,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,15.0,6.0,bolshakovav,9.0,V,15.0,13.0,dicarloales,2.0,V,15.0,10.0,gregorioros,5.0,V,12.0,15.0,balzersara,-3.0,D,,,,,,,,,,,,,,,,26.0,4.0,5.0,24.0,13.0,0.8,11.0,6.0,V/5,V/5,D/4,V/5,V/5,,5.0,V,5.0,0.0,livanoueiri,V,5.0,2.0,potz-nagyfa,V,5.0,2.0,WEE Nicole Sher Tynn,V,5.0,4.0,ciaragliaso,D,4.0,5.0,suzannecoli,,,,,,,,,
14,15,8.0,KIM Jeongmi,21,KOR,kimjeongmi,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,3.0,fraatzkrees,12.0,V,15.0,10.0,linkesi,5.0,V,15.0,7.0,cieslarzuza,8.0,V,15.0,12.0,pagegabriel,3.0,V,7.0,15.0,noutchasara,-8.0,D,,,,,,,,,,,,,,,,46.0,4.0,6.0,25.0,19.0,0.667,6.0,3.0,V/5,V/5,D/4,V/5,V/5,D/1,6.0,V,5.0,1.0,apostolopou,V,5.0,1.0,vutovateodo,D,4.0,5.0,noutchasara,V,5.0,3.0,beltranroja,V,5.0,4.0,kimuramarin,D,1.0,5.0,rotiliclaud,,,,,
15,16,8.0,KATONA Renata,27,HUN,katonarenat,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,7.0,theodoremar,8.0,V,15.0,12.0,passaroeloi,3.0,V,15.0,12.0,emuramisaki,3.0,V,15.0,14.0,tartakovsky,1.0,V,13.0,15.0,bashtaanna,-2.0,D,,,,,,,,,,,,,,,,73.0,3.0,6.0,22.0,19.0,0.5,3.0,7.0,D/3,D/1,V/5,D/3,V/5,V/5,6.0,D,3.0,5.0,leerajin,V,5.0,0.0,fraatzkrees,V,5.0,2.0,maxwellcait,D,1.0,5.0,cieslarzuza,D,3.0,2.0,chatzakouka,D,3.0,5.0,zhuangcheny,,,,,
16,17,4.0,APITHY-BRUNET Manon,26,FRA,apithy-brun,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,8.0,wakitajumi,7.0,V,12.0,15.0,noutchasara,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,4.0,YOON Jisu,29,KOR,yoonjisu,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,14.0,ciaragliaso,1.0,V,8.0,15.0,boudiafsaou,-7.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
